3.1|1.1|1|0
6.1|2.1|1|1,0
6.2|2.1|1|1
9.1|3.1|1|1
9.2|1.1|1|0,0
12.1|4.1|1|1,0
12.2|4.1|1|1
12.4|4.2|1|1,2
12.5|4.2|1|1,2
15.1|5.1|1|2
18.1|6.1|1|1,4
18.3|6.1|1|1,4
18.4|2.1|1|1,0,0
21.2|7.1|1|5
24.5|8.2|1|1,2
24.6|8.3|1|1,2
24.8|8.3|1|7,1,4,0
24.10|8.3|1|1,2
27.3|9.2|1|1,3,0
27.4|9.2|1|1,3
30.1|10.2|1|5,4
36.6|12.1|1|1,4
36.9|4.1|1|1,2,0,0
36.10|4.2|1|2,1,0,0
36.12|12.4|1|1,2
42.3|14.2|1|7,10
54.5|18.3|1|1,6,0
54.6|18.3|1|1,6
54.8|18.4|1|25,4,144,0
60.6|20.3|1|1,8
60.7|20.3|1|3,8
72.21|8.2|1|7,2,0
72.23|24.6|1|1,2,0
72.30|24.8|1|1,10,20
72.39|8.1|1|1,0,0
72.40|8.3|1|1,7,4,0,0
72.41|8.4|1|2,1,4,0,0
72.45|8.2|1|2,0,1
81.7|27.3|1|1,18,3
108.17|36.10|1|475,25,148,244,0
108.36|36.9|1|474,4,144
108.37|36.9|1|474,25,144,148,0
108.38|36.10|1|450,716,244
108.40|36.10|0|25,475,244,0,148
120.36|40.12|1|20,1,16
126.7|42.1|1|5,30
126.9|42.1|1|1,30
144.182|16.8|1|2,1,4,8,0,0
162.10|54.5|1|5,2,18,42,0
162.11|54.5|1|3,4,48,36,0
162.19|54.8|1|1,2,36,24
216.156|72.45|1|36,1,2,8,24,0
216.157|72.40|1|450,5,0,269,243,244
216.158|72.40|1|450,5,269,4,240,0
216.159|72.40|1|450,452,122,4,240,0
252.26|84.7|1|42,1,60
324.39|108.17|1|1,3,4,24,36,0
324.162|108.37|1|41281,3,98064,93144
324.167|108.40|1|744,213961,141240,4
405.15|5.1|1|1,0,0,0,0
648.712|72.39|0|5,42,24,32,56,24
648.716|72.21|1|18,5,12,0,0,16,48
648.717|72.45|0|36,1,54,0,0,8,32
648.719|216.158|1|41065,1683,87360,11064
648.723|216.159|1|41065,41184,1680,103080,92400,0,3
648.725|72.40|0|714,1,265,0,0,147,3
648.730|72.41|0|26719,37817,321987,0,80884,0
810.102|10.2|1|1,0,0,0,0
1215.69|405.15|1|2,30,380,55,310
1296.3508|16.6|1|1,2,4,8,0,0,0,0
1296.3522|144.182|0|33325,322530,210055,357364,80884,184197,276480
1620.421|20.3|1|3,2,4,0,0,0,0
2430.f|810.102|1|780,5,2
3240.be|40.12|1|0,20,8,23
4860.k|1620.421|1|93485145843,1126611763200,844958961090
4860.m|1620.421|1|174436461604,1126611763200,844958961090
5103.4034|7.1|1|1,0,0,0,0,0,0
9720.j|3240.be|1|503390448120,501191842757,722511678070,43347809866
10206.d|14.2|1|1,2
15309.b|5103.4034|1|1,1657
30618.c|42.1|1|4,11
30618.e|10206.d|1|15489965758738543944,46219112485273728002
61236.a|84.7|1|27,5,54
91854.a|30618.c|1|17925934431170523122,15370608974946382228
91854.b|30618.c|1|38415753617578628975,33288208578133989268
183708.a|61236.a|1|33288919778633679363,4993119192741845518
