1.1|1
2.1|3
3.1|4
4.1|2
4.2|1
5.1|1
6.1|6
6.2|12
7.1|1
8.1|2
8.2|1
8.3|1
8.4|1
9.1|12
9.2|1
10.2|3
11.1|1
12.1|2
12.2|8
12.4|6
12.5|4
13.1|1
14.2|3
15.1|4
16.1|2
16.4|1
16.5|1
16.6|1
16.8|2
17.1|1
18.1|5
18.3|24
18.4|1
19.1|1
20.2|2
20.3|1
20.5|1
21.2|4
22.2|3
23.1|1
24.5|5
24.6|1
24.8|5
24.10|4
27.3|1
27.4|8
30.1|6
32.15|1
32.17|1
36.6|8
36.9|2
36.10|9
36.12|24
39.1|1
40.10|1
40.12|1
42.1|1
42.3|6
54.5|20
54.6|49
54.8|9
55.1|1
60.6|4
60.7|1
64.45|1
64.46|2
72.21|4
72.23|5
72.30|20
72.39|4
72.40|4
72.41|4
72.45|2
80.31|1
81.7|12
84.7|1
100.9|1
108.17|24
108.36|8
108.37|2
108.38|36
108.40|4
110.2|3
120.36|5
126.7|1
126.9|1
144.182|16
162.10|60
162.11|20
162.19|36
216.156|10
216.157|16
216.158|20
216.159|4
252.26|5
253.1|1
272.50|1
324.39|48
324.162|8
324.167|16
342.7|1
405.15|1
648.712|2
648.716|8
648.717|1
648.719|80
648.723|20
648.725|1
648.730|1
810.102|3
1215.69|4
1296.3508|10
1296.3522|32
1620.421|40
2430.f|6
3240.be|40
4860.k|40
4860.m|160
5103.4034|1
9720.j|200
10206.d|3
15309.b|4
30618.c|364
30618.e|6
61236.a|364
91854.a|364
91854.b|364
183708.a|1820
