1.1|1
2.1|7
3.1|1
4.1|12
4.2|7
5.1|1
6.1|1
6.2|7
7.1|1
8.1|24
8.2|18
8.3|18
8.4|6
8.5|1
9.1|1
10.2|7
11.1|1
12.1|4
12.2|12
12.3|1
12.4|3
12.5|7
13.1|1
14.2|7
15.1|1
16.1|48
16.2|4
16.3|12
16.4|12
16.5|36
16.6|36
16.7|16
16.8|36
16.9|20
16.10|3
16.11|9
16.12|3
16.13|16
16.14|0
17.1|1
18.2|7
18.3|1
19.1|1
20.2|12
20.3|1
20.5|7
21.1|1
21.2|1
22.2|7
23.1|1
24.3|0
24.5|4
24.6|2
24.8|4
24.10|18
24.12|3
24.13|7
24.14|1
30.1|1
32.1|96
32.2|0
32.3|12
32.4|12
32.5|24
32.6|24
32.7|12
32.8|12
32.9|20
32.10|28
32.11|48
32.12|24
32.13|12
32.14|12
32.15|24
32.16|72
32.17|72
32.18|16
32.19|32
32.20|16
32.21|1
32.22|3
32.23|3
32.24|12
32.25|18
32.26|6
32.27|4
32.28|18
32.29|18
32.30|24
32.31|12
32.32|12
32.33|20
32.34|1
32.35|3
32.36|6
32.37|18
32.38|24
32.39|8
32.40|18
32.41|10
32.42|36
32.43|38
32.44|34
36.3|1
36.6|4
36.12|3
40.10|18
40.12|3
42.2|7
42.3|1
48.3|1
48.28|8
48.29|8
48.30|12
48.31|12
48.33|16
48.38|6
48.48|9
48.49|7
48.50|0
54.4|1
54.6|1
56.11|2
60.6|1
60.7|1
60.9|1
64.1|192
64.2|4
64.3|12
64.4|24
64.5|24
64.6|40
64.7|56
64.8|40
64.9|56
64.10|24
64.11|24
64.12|8
64.13|24
64.14|16
64.15|24
64.16|24
64.17|0
64.18|0
64.19|0
64.20|0
64.21|0
64.22|0
64.23|0
64.24|0
64.25|0
64.26|24
64.27|24
64.28|48
64.29|48
64.30|48
64.31|96
64.32|48
64.33|48
64.34|24
64.35|24
64.36|24
64.37|24
64.38|20
64.39|20
64.40|40
64.41|40
64.42|20
64.43|20
64.44|48
64.45|48
64.46|48
64.47|12
64.48|12
64.49|24
64.50|144
